dagbani,english,usage,category
A gbaai ma mi?,Am I under arrest?,"Lit. ""You have caught me?""",authority
M bori looya ni n di o fiila,I want to talk to a lawyer,Legal right,authority
M bori ni n di America embassy kpamba alizama,I want to talk to the American embassy,Seeking consular help,authority
M bori ni n di Australia embassy kpamba alizama,I want to talk to the Australian embassy,Seeking consular help,authority
M bori ni n di Britain embassy kpamba alizama,I want to talk to the British embassy,Seeking consular help,authority
M bori ni n di Canada embassy kpamba alizama,I want to talk to the Canadian embassy,Seeking consular help,authority
N baŋ n taarihi,I know my rights,Asserting rights,authority
N bi tum taali shɛli,I haven't done anything wrong,Protest innocence,authority
N nyɛla America bilichina,I am an American citizen,Nationality,authority
N nyɛla Australia bilichina,I am an Australian citizen,Nationality,authority
N nyɛla Britin bilichina,I am a British citizen,Nationality,authority
N nyɛla Canada bilichina,I am a Canadian citizen,Nationality,authority
Nangbankpeen n di nyɛli,It was a misunderstanding,Explanation,authority
Ni tooi yo n samli pumpɔŋɔ?,Can I just pay a fine now?,Asking for fine,authority
Ya ka a mali ma n chana?,Where are you taking me?,Questioning authority,authority
A gba ti ni paai,See you later,Response to parting,basics
A ni suhɔ?,How are you?,"Lit. ""Are you at peace?""",basics
A ni wula?,How are you?,"Lit. ""How are you?""",basics
A wumya?,Do you understand?,Checking comprehension,basics
A yi wula?,Good morning,"Literally ""How did you rise?""",basics
A yuli bo?,What is your name?,"Lit. ""Your name what?""",basics
aayi,No,Negation,basics
Alibarika,Thanks / Blessings,Fuller form,basics
Aninwula,Good night,Greeting used at night,basics
Antire,Hello,Evening greeting,basics
Ba ni sɔŋ ma?,Can you help me?,"Lit. ""Will they not help me?""",basics
Bai bai,Goodbye (informal),From English,basics
Barika,Blessings / Thanks,Used after meals,basics
Bɔhim baŋsim,Learn,Advice,basics
Bindirigu ʒɛya,Food is ready,Lit. food is standing,basics
Chɛli li,Leave it,Request,basics
Da n ti ma samina,Buy me some provisions,Request,basics
Daaliri,Thank you,Common expression,basics
Dasiba,Good morning,Standard morning greeting,basics
Di kuli nyɛla suhupiɛlli,It's always a pleasure,Polite response,basics
Di niŋ ma suhupiɛli pam ni n ni nya ŋɔ,Nice to meet you,"Lit. ""It makes me happy to see this""",basics
Di nyɛɣisim,Enjoy your meal,Lit. its sweetness,basics
Di nyɛla din baligi,It is easy,Comment on task,basics
Di pala,It's nothing / You're welcome,Response to thanks,basics
Di simdi,You're welcome,"Lit. ""It is fitting""",basics
Dimi suhugulo,Please,Polite request marker,basics
Doli ma,Follow me,Command,basics
Gaafara,Excuse me,From Hausa/Arabic,basics
Gaafara n tum taali,Excuse me (begging pardon),Apologetic form,basics
Gbilim,Lie down,Command,basics
Guli ma,Wait for me,Command,basics
iin,Yes,Affirmation,basics
Ka a saɣi,If you agree,Polite condition,basics
Ka di niŋ kamaata,If it is appropriate,Polite condition,basics
Ka ti chaŋ,Let's go,Suggestion,basics
Kam na,Come here,Command,basics
Kɔhim ma niɛma,Sell me goods,Request,basics
Kpe na,Come in,Invitation,basics
Kpɛŋ n-nyɛ li,It is difficult,Comment on situation,basics
Labi na,Come back,Command,basics
Lihi ma!,Look out!,Warning,basics
M ba,My father,Respectful address,basics
M baŋya,I know,Statement,basics
M bi baŋ,I don't know,Statement,basics
M bia,My child,Affectionate address,basics
M ma,My mother,Respectful address,basics
M mala,I am well,Response to greeting,basics
M mali anfaani,Excuse me,Used to get attention,basics
M puhiya ka paɣi,Thank you,More formal thanks,basics
M zɔ,My friend,Friendly address,basics
Maasim ni,Coolness and...,Part of blessing,basics
Maasim ni alaafee,Coolness and health,Common blessing,basics
Maasim ni baŋsim,Coolness and wisdom,Common blessing,basics
Maasim ni barika,Coolness and blessings,Common blessing,basics
Maasim ni faako,Coolness and deliverance,Common blessing,basics
Maasim ni nyɛvili,Coolness and life,Common blessing,basics
Maasim ni suhudoo,Coolness and peace,Common blessing,basics
Maasim ni yiko,Coolness and strength,Common blessing,basics
Maasim ni yurilim,Coolness and love,Common blessing,basics
N bɔri a,I need you,Can be romantic or literal,basics
N bi gbaai,I don't understand,"Lit. ""I don't catch""",basics
N doo,my friend,"Informal greeting (lit. ""my man"")",basics
N ku tooi yɛli Dagbanli,I can't speak Dagbani,Statement of inability,basics
N ku tooi yɛli Dagbanli viɛnyɛla,I can't speak Dagbani well,With qualification,basics
N ni tooi yɛli silimiinsili?,Do you speak English?,"Lit. ""Can I speak English?""",basics
N nyɛla…,I am…,Self-introduction,basics
N pali ya,I am full,After meal,basics
N suhɔya,I am fine,Response to greeting,basics
N suhu biɛri a zuɣu,I feel sorry for you,Lit. my heart hurts for you,basics
N suhu ni,In my heart,Emotional expression,basics
N suhu yu a,I love you,Lit. my heart loves you,basics
N tumi taali,I'm sorry,Admission of fault,basics
N yu a,I like you,Shorter affectionate form,basics
N yuli booni…,My name is called…,Standard response,basics
N yuli nye…,My name is…,Standard response,basics
Naawuni deei barika,May God accept thanks,Response to thanks,basics
Naawuni guli a,May God protect you,Blessing,basics
Naawuni ni sɔŋ,Goodbye,Said by person leaving,basics
Naawuni ni ti biɛɣu,Good night (to sleep),Said to someone retiring,basics
Naawuni pali a ni alaafee,May God fill you with health,Blessing,basics
Naawuni salaam alaikum,Peace be upon you,Formal Islamic greeting,basics
Naawuni sɔŋ a,May God help you,Blessing,basics
Naawuni taɣi a,May God preserve you,Blessing,basics
Naawuni taɣi ti,God forbid,Exclamation at bad news,basics
Naawuni ti a baŋsim,May God give you wisdom,Blessing,basics
Naawuni ti a barika,May God give you blessings,Blessing,basics
Naawuni ti a faako,May God deliver you,Blessing,basics
Naawuni ti a maasim,May God give you coolness,Blessing,basics
Naawuni ti a nasara,May God give you victory,Blessing,basics
Naawuni ti a nyɛvuli waɣila,May God give you long life,Blessing,basics
Naawuni ti a suhudoo,May God give you peace,Blessing,basics
Naawuni ti a yiko,May God give you strength,Blessing,basics
Naɣi,Stop it,Command,basics
Ni ti di li,Let's eat,Suggestion,basics
Ni ti nyu li,Let's drink,Suggestion,basics
Paɣim a maŋa,Wash yourself,Command,basics
Pirisi,Please (respectful),Formal politeness,basics
Sɔŋ ma,Help me,Command,basics
Sɔŋmi ya ma!,Help!,Call for assistance,basics
So be kpe ka yari silimiinsili?,Is there someone here who speaks English?,Seeking interpreter,basics
Suɣim li,Wash it,Command,basics
Suhu biɛɣu be ni,I am angry,Lit. anger is there,basics
Ti ma li,Give it to me,Command,basics
Ti ni kuli lahi paai,See you again,Goodbye phrase,basics
